,Key Items,Instructions
10,Services Warranty Terms,"## Finding Services Warranty Terms in a Solar Energy O&M Agreement:

**Keywords to Look for:**

*   ""warranty""
*   ""workmanship""
*   ""materials""
*   ""defects""
*   ""guarantee""
*   ""services""
*   ""non-covered services""
*   ""period""
*   ""duration""

**Patterns to Identify:**

*   Numbered sections (e.g., 2.2, 10.1) followed by descriptions of warranties.
*   Sentences containing the keyword combinations: 
    *   ""warranty"" and ""services""
    *   ""free from defects"" and ""workmanship""
    *   ""period"" and ""year""

**Sections to Focus On:**

*   **Article/Section on Services:** This section typically outlines the scope of services provided by the contractor and may include subsections dedicated to warranties.
*   **Article/Section on Warranties and Guarantees:** Some agreements might have a dedicated section specifically addressing warranties for both equipment and services.

**Examples of How the Term Might Appear:**

*   Directly labeled as ""Services Warranty""
*   Within a clause titled ""Warranty of Work"" or ""Workmanship Warranty""
*   As part of a broader section on ""Contractor Obligations"" or ""Performance Guarantees"" 
"
11,Year 1 Production,"## Finding ""Year 1 Production"" in a Solar Interconnection Agreement:

**Keywords and Patterns:**

*   **Exact Match:** ""Year 1 Production"", ""First Year Production"", ""Initial Year Production""
*   **Partial Match:** ""Year [Number] Production"" (Look for sections with production estimates for multiple years)
*   **Units:** ""MWh"", ""kWh"", ""kW"" (These units often accompany production figures)
*   **Software:** ""PVsyst"", ""PV F-Chart"" (These are common software tools used for solar production estimates)

**Sections to Focus On:**

*   **Exhibits:** Look for exhibits labeled ""PVsyst Report"", ""Production Estimates"", or similar. These often contain detailed production data. 
*   **Performance Guarantee Sections:** Sections discussing performance guarantees and penalties for underperformance may reference Year 1 Production as a baseline. Look for sections numbered around ""14"" as shown in the examples.
*   **Technical Specifications:** Sections outlining the technical specifications of the solar facility may include estimated production figures.

**Examples of How to Find the Information:**

1.  **Search for Exact Matches:** Use the search function in your document viewer and search for the exact phrases like ""Year 1 Production"".
2.  **Scan Exhibits:** Open exhibits related to production estimates and look for tables or figures that explicitly state ""Year 1"" or ""First Year"" production. Pay attention to the units of measurement.
3.  **Review Performance Guarantee Sections:**  Carefully read sections related to performance guarantees, looking for clauses that define how ""Year 1 Production"" is calculated or used as a benchmark for performance evaluation.
4.  **Analyze Technical Specifications:**  Within the technical specifications, search for tables or paragraphs that provide estimated production figures for the solar facility. Look for mentions of specific software used for calculations, such as PVsyst. 
5.  **Follow References:** If the agreement mentions specific reports or studies containing production estimates, try to locate and review those documents for the relevant information. 

**Additional Notes:**

*   The specific wording and organization of interconnection agreements can vary. Be prepared to adapt your search based on the specific document you are reviewing.
*   Pay attention to the context of the information. Ensure that the figures you find are indeed referring to the first year of operation and not another timeframe. 
"
12,Production Guarantee,"## Finding Production Guarantees in a Solar O&M Agreement:

**Keywords/Patterns:**

*   ""Production Guarantee""
*   ""Actual Production""
*   ""Projected Production""
*   ""Performance Guarantee""
*   ""Energy Yield"" 
*   ""Minimum Production""
*   Percentage thresholds (e.g., 90%) related to production
*   Formulas or references to calculations for projected production

**Sections to Focus On:**

*   **Definitions Section:** Look for definitions of key terms like ""Actual Production,"" ""Projected Production,"" and ""Production Guarantee Term.""
*   **Performance Guarantees Section:** This section may be explicitly titled as such or may be part of a broader section on Operations and Maintenance.
*   **Technical Exhibits:**  Look for tables or graphs that outline projected production values over time.

**Examples of How to Locate Relevant Text:**

1. **Search for Keywords:** Use the ""find"" function in your document viewer and search for the keywords listed above. This will help you quickly identify sections that are likely to contain information about production guarantees.
2. **Scan Headings and Subheadings:**  Review the table of contents or headings within the document to identify sections related to performance, operations, or technical specifications.
3. **Review Definitions:** Pay close attention to the definitions section to understand how key terms related to production guarantees are defined within the agreement.
4. **Look for Formulas and Calculations:**  Identify any formulas or calculations used to determine projected production or assess compliance with the production guarantee. 

**Extracting Examples:**

Once you've located sections related to production guarantees, look for specific clauses or sentences that:

*   Define the guaranteed production level (e.g., 90% of Projected Production).
*   Specify the duration of the guarantee (e.g., Production Guarantee Term).
*   Outline the consequences of failing to meet the guarantee.
*   Describe the methodology for calculating projected production. 
*   Reference any relevant technical exhibits with production estimates. "
13,Production Guarantee Term,"## Finding the Production Guarantee Term in a Solar O&M Agreement:

**Keywords to Search:**

*   Production Guarantee Term
*   Production Guaranty Term
*   Guarantee Year
*   Annual Production Guarantee Agreement
*   Term (in the context of production guarantees)

**Patterns to Look For:**

*   Numerical duration (e.g., 5 years) associated with the keywords above.
*   Dates or references to specific events (e.g., Commencement Date, Commercial Operations) that define the start and end of the term.
*   Clauses outlining the conditions under which the term might end earlier than expected (e.g., termination of the agreement).

**Sections to Focus On:**

*   **Definitions Section:** Look for definitions of terms like ""Production Guarantee Term,"" ""Guarantee Year,"" or similar wording.
*   **Production Guarantee Section:** This section will likely detail the specifics of the guarantee, including its duration. 
*   **Term and Termination Section:** This section might mention the duration of the production guarantee within the broader context of the agreement's term.

**Examples of How the Term Might Appear:**

*   Directly stated as ""The Production Guarantee Term is 5 years.""
*   Defined in relation to specific dates, such as ""commencing on the Commencement Date and ending on the fifth anniversary thereof.""
*   Expressed through the definition of ""Guarantee Year"" and the number of such years covered under the agreement. 
"
14,Production Estimate - Definition,""
15,Degradation,"## Finding Degradation Clauses in a Solar O&M Agreement:

**Keywords to Look for:**

*   Degradation
*   Performance guarantee
*   Output degradation
*   Annual production guarantee
*   Energy yield decline
*   Reduction factor
*   Wear and tear

**Patterns to Identify:**

*   Formulas calculating a decrease in production over time.
*   Percentage decrease associated with specific time intervals (e.g., annually).
*   Guarantees with declining thresholds over the years.

**Sections to Focus On:**

*   **Definitions:** Look for the definition of ""degradation"" or related terms to understand the specific context within the agreement.
*   **Performance Guarantees:** Sections outlining the expected performance of the solar facility, often including degradation rates or guaranteed production levels.
*   **Operation and Maintenance (O&M):** Sections detailing O&M responsibilities might mention degradation and procedures to address it.
*   **Term and Termination:** Clauses related to the agreement's duration might include provisions for degradation and its impact on the contract.

**Additional Tips:**

*   Pay attention to the units used (e.g., kWhs/DCkW/Year) to ensure you're comparing similar metrics.
*   Consider the timeframe over which degradation is calculated (e.g., from the Commencement Date or Placed in Service Date). 
"
16,Production Factor,"## Finding ""Production Factor"" in a Solar O&M Agreement:

Defined as a coefficient used to adjust the expected production based on actual conditions.

**Keywords to Search:**

*   ""Production Factor"" (exact match)
*   ""P50"" (often associated with projected insolation)
*   ""insolation""
*   ""performance ratio"" (potential synonym)
*   ""adjustment factor"" (potential synonym)

**Patterns to Identify:**

*   **Equations or ratios involving insolation:** Look for formulas that compare actual insolation to expected or P50 insolation.
*   **Definitions or explanations of adjustments to energy production:** The document may describe how the Production Factor is used to modify initial production estimates based on real-world conditions.
*   **Tables or figures displaying insolation data:** These visuals might present P50 insolation values or showcase the calculation of the Production Factor.

**Additional Tips:**

*   Pay attention to the context surrounding the keywords. Ensure the reference is related to adjusting energy production based on insolation, not a different concept.
*   If the document has a table of contents or index, use it to quickly navigate to relevant sections. 
*   Consider using the search function within your document viewer to efficiently locate instances of the keywords. 
"
17,Adjustments - Production Loss,"## Finding ""Adjustments - Production Loss"" Clauses in Solar O&M Agreement:

**Keywords:**

*   ""Production Loss""
*   ""Adjustments""
*   ""Limitations on Guaranty""
*   ""Projected Production""
*   ""Average Daily Projected Power Production""
*   ""Downtime""
*   ""Performance Guarantee""
*   ""Actual kWh""
*   ""Guarantee Year""
*   ""Penalty""
*   ""Compensation""
*   ""Deficiency""

**Patterns:**

*   Look for sections discussing calculations or adjustments related to energy production.
*   Focus on clauses mentioning specific events or circumstances that might lead to reduced energy generation (e.g., equipment failure, weather events).
*   Identify sections outlining procedures for measuring and verifying actual energy production against projected or guaranteed levels.
*   Pay attention to clauses detailing consequences of failing to meet production guarantees, such as penalties or compensation mechanisms.

**Additional Tips:**

*   **Context is crucial:** Always consider the specific context of each clause and its relation to the overall agreement.
*   **Cross-reference definitions:** Look for definitions of key terms within the agreement to ensure accurate interpretation.
*   **Consider variations in terminology:** Different agreements might use slightly different terms to convey similar concepts. 
"
18,Statement of Guarantee,"## Finding Statement of Guarantee Clauses in Solar O&M Agreement:

**Keywords to Look For:**

*   **Guarantee**: This is the most obvious keyword and will likely be present in the relevant sections. Look for variations like ""Guaranty,"" ""Performance Guarantee,"" ""Production Guarantee,"" or ""Annual Production Guarantee.""
*   **Performance**: Often paired with ""Guarantee,"" indicating sections dealing with system performance standards and potential penalties.
*   **Production**: Look for terms like ""Actual Production,"" ""Estimated Production,"" ""Production Shortfall,"" which directly relate to energy generation guarantees.
*   **Measurement Period**: This indicates the timeframe used to assess the system's performance against the guaranteed levels.
*   **kWh**:  This unit of energy will be present in clauses detailing production levels and shortfall calculations.

**Patterns to Identify:**

*   **Numerical thresholds**: Look for percentages associated with production guarantees (e.g., 90% of estimated production).
*   **Calculation formulas**: Sections outlining how production shortfalls or performance penalties are calculated.
*   **Payment terms**: Clauses specifying who pays whom in case of underperformance and the timeframe for such payments.
*   **Consequences of underperformance**: Look for terms like ""Penalty,"" ""Liquidated Damages,"" or specific actions to be taken if the system fails to meet guaranteed levels.

**Examples of How to Apply These Instructions:**

1.  **Search for Keywords:** Use the ""Find"" function in your document viewer and search for keywords like ""Guarantee,"" ""Performance,"" and ""Production."" This will help you quickly locate relevant sections.
2.  **Scan for Patterns:** Once you've found potential sections, look for patterns like numerical thresholds, calculation formulas, and payment terms. These patterns are strong indicators of Statement of Guarantee clauses.
3.  **Review Specific Sections:** Pay close attention to sections that are likely to contain guarantee clauses, such as Section 2 (Definitions) and sections with titles related to performance or production guarantees.
4.  **Check Exhibits:** If the agreement references exhibits related to performance guarantees, review them for detailed information and calculations.

**Remember:** The specific wording and structure of interconnection agreements can vary. Use these instructions as a guide and adapt your approach based on the specific document you are reviewing. 
"
19,Production Shortfall Rate,"## Finding the Production Shortfall Rate in a Solar O&M Agreement:

**Keywords to Search:**

*   Production Shortfall Rate
*   Performance Guarantee
*   Penalty
*   Compensation
*   kWh
*   Guarantee Year
*   Annual Production Guarantee
*   Actual kWh

**Patterns to Identify:**

*   **Formulas or equations:** Look for formulas that calculate the penalty or compensation based on the difference between the actual kWh produced and the guaranteed production level.
*   **Dollar amounts per kWh:** The Production Shortfall Rate is typically expressed as a dollar amount per kilowatt-hour. 
*   **References to specific exhibits or sections:** The document may refer to other sections or exhibits where the Production Shortfall Rate is defined or calculated.

**Examples of How the Information Might Appear:**

*   A table in Exhibit F directly stating the Production Shortfall Rate (e.g., ""$0.2653/kWh"").
*   A formula in Section 14.1 calculating the Annual Penalty Difference based on the Production Shortfall Rate and the difference between Actual kWh and guaranteed production.
*   A statement in Section 14 describing the compensation mechanism for production shortfalls, referencing the Production Shortfall Rate. 
"
20,Guarantee Limitations,"## Finding Guarantee Limitations in Solar O&M Agreement:

**Keywords:**

*   Production Guaranty
*   Performance Guarantee
*   Energy Yield
*   Guarantee Exclusions
*   Force Majeure

**Patterns:**

*   Numbered sections, often within Article 2 (e.g., 2.3(h))
*   Lists of exclusions introduced by phrases like ""shall not apply"" or ""not responsible for""
*   References to specific events (e.g., vandalism, utility outages, equipment failure)

**Sections:**

*   **Article: Project Operation and Maintenance** - This section typically outlines the responsibilities of both parties regarding the solar project's operation and upkeep. Look for subsections related to performance guarantees or production guarantees.
*   **Exhibits or Schedules** -  Sometimes, guarantee limitations are detailed in separate exhibits or schedules attached to the main agreement. Look for titles like ""Performance Guarantee Schedule"" or ""Exclusions from Production Guarantee.""

**Additional Tips:**

*   Pay attention to the definitions section of the agreement, as it may clarify the meaning of key terms like ""Force Majeure"" or ""Equipment.""
*   Consider the context of the agreement and the specific project when interpreting guarantee limitations. 
"
21,Reporting (Proactive and Reactive),"## Finding Reporting Requirements in O&M Agreement:

**Keywords to Look For:**

*   **Report, Reporting, Reports**
*   **Log, Logs, Logging**
*   **Monitoring**
*   **Performance**
*   **Maintenance**
*   **Inspection**
*   **Data**
*   **Information**
*   **Frequency**
*   **Schedule**
*   **Submit, Provide, Furnish**
*   **Quarterly, Monthly, Annually**

**Patterns to Identify:**

*   **Timeframes:** Look for mentions of specific timeframes like days, months, quarters, or years, often following verbs like ""submit,"" ""provide,"" or ""furnish.""
*   **Report Types:** Identify keywords related to the content of reports, such as ""performance,"" ""maintenance,"" ""inspection,"" or ""operation.""
*   **Triggers:**  Notice phrases indicating specific events that trigger reporting, such as ""completion of service,"" ""unplanned outage,"" or ""end of quarter.""

**Section Numbers (Common Locations):**

*   **Operations and Maintenance (O&M) Sections:** These sections often detail reporting requirements related to system performance, maintenance activities, and inspections.
*   **Exhibit:** exhibit frequently outlines specific reporting formats, contents, and schedules.
*   **General Terms or Definitions Sections:** Look for definitions of terms like ""Monthly Report"" or ""Performance Report"" which can point to relevant sections.

**Examples of How to Apply These Instructions:**

1.  **Search for Keywords:** search for keywords like ""report"" or ""monthly."" This will highlight sections potentially related to reporting requirements.
2.  **Scan for Patterns:** Once you've located relevant sections, look for patterns like timeframes (""within 5 days""), report types (""performance report""), and triggers (""following completion of service"").
3.  **Check Common Sections:** Pay close attention to sections titled ""Operations and Maintenance,"" ""Reporting,"" or similar. Review ""Exhibit A"" for detailed reporting formats and schedules.

**Remember:** The specific location and wording of reporting requirements may vary depending on the agreement. Use these instructions as a guide to efficiently locate the information you need. 
"
22,Insurance Requirements,"## Finding Insurance Requirements in O&M Agreement:

**Keywords and Patterns:**

*   **Section Titles:** Look for sections explicitly titled ""Insurance,"" ""Insurance Requirements,"" or ""Indemnification and Insurance.""
*   **Keywords within Sections:** Scan for terms like ""liability insurance,"" ""workers' compensation,"" ""commercial general liability,"" ""automobile liability,"" ""umbrella insurance,"" ""professional liability,"" ""coverage,"" ""limits,"" ""deductibles,"" ""aggregate,"" ""occurrence,"" and ""policy.""
*   **Numerical Values:** Pay attention to numerical values representing coverage limits (e.g., ""$1,000,000 per occurrence"").
*   **Insurance Types:** Look for specific types of insurance mentioned, such as CGL, auto liability, workers' compensation, and umbrella liability.
*   **Exhibit References:** Check if the agreement mentions an Exhibit (e.g., ""Exhibit D"") that might contain detailed insurance requirements.

**Sections to Focus On:**

*   **Article/Section:** While numbering can vary, common locations for insurance requirements include:
    *   Indemnification and Insurance
    *   Workers' Compensation
    *   CGL Insurance
    *   Auto Liability Insurance
    *   Umbrella Excess Liability Insurance
    *   Operator Insurance
    *   Insurance Provisions

**Examples of How to Extract Information:**

1.  **Locate the Relevant Section:**  Find the section titled ""Insurance Requirements"" or similar.
2.  **Identify Insurance Types:** Look for headings or paragraphs specifying the types of insurance required (e.g., CGL, auto liability).
3.  **Extract Coverage Limits:** Note the numerical values associated with each type of insurance and the corresponding coverage description (e.g., ""$1,000,000 per occurrence"").
4.  **Deductibles and Specifics:** Look for information on deductibles, self-insured retentions, and any specific requirements or limitations mentioned.
5.  **Additional Insured Parties:** Check if the agreement specifies who should be named as additional insured on the policies.

**Remember:** The specific wording and organization of insurance requirements will vary between agreements. Use the keywords, patterns, and section guidance to effectively locate and extract the necessary information. 
"
23,Termination - Provider,"## Finding Termination Clauses in O&M Agreement:

**Keywords:**

*   Termination
*   Default
*   Breach
*   Insolvency
*   Bankruptcy
*   Cure Period
*   Notice Period

**Patterns:**

*   Section headings like ""Termination,"" ""Default,"" or ""Term and Termination""
*   Numbered clauses within sections (e.g., 9.a, 3.1(b))
*   References to specific events triggering termination (e.g., bankruptcy, non-payment)
*   Timeframes for notice and cure periods (e.g., 30 days, 15 days)

**Sections:**

*   Focus on sections explicitly labeled ""Termination"" or similar.
*   Review sections related to ""Term"" or ""Agreement Duration"" as they might contain termination clauses.
*   Check sections outlining obligations of both parties, as breaches of these obligations often lead to termination rights.

**Examples of Specific Phrases:**

*   ""Either Party may terminate this Agreement...""
*   ""Provider may terminate this Agreement in the event of...""
*   ""If Owner fails to comply with...""
*   ""...upon written notice...""
*   ""...material breach...""
*   ""...cure period...""

**Additional Tips:**

*   Pay attention to the specific language used to define events triggering termination.
*   Note the required notice periods and procedures for termination.
*   Identify any consequences of termination, such as financial liabilities or ongoing obligations. 
"
