file_name,key_item,Legal Terms,Predicted Legal Terms,levenshtein_distance,levenshtein_distance_scaled,cosine_similarity
Site Lease - Blue Sky- Felicita Town Center.pdf,Quiet Enjoyment,," 2. Landlord's Interest in Premises/Tenant's Quiet Enjoyment. Landlord
represents, warrants and covenants that Landlord (check appropriate box) [X] is the fee title owner
of the Property or [_] has a leasehold interest in the Property, in which event Landlord represents,
warrants and covenants that Landlord has a valid leasehold interest in the Property and that
Landlord is not in default of its lease. Landlord represents, warrants and covenants that Landlord
has lawful authorization to use and occupy the Premises and that Tenant, subject to all of the
terms and conditions of this Lease, and provided that Tenant has not committed or suffered to be
committed a Tenant Event of Default, shall have quiet and peaceful possession of the Premises
for the permitted Use, free from any claim of any Person of superior title thereto without
hindrance to or interference with or molestation of Tenant's quiet enjoyment thereof, throughout
the Term",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Removal Requirements,," **Removal and Relocation**

**A.** If this Lease has not terminated earlier pursuant to Subparagraph I.D.2 or Paragraph I.F of this Lease, then on the Year 25 Termination Date, Tenant shall, at its sole cost and expense, remove the Solar System from the Premises and restore the License Areas in accordance with all Removal Obligations. This Paragraph VII.A and the Removal Obligations survive the termination of this Lease until said Removal Obligations are fully completed. Tenant shall complete the Removal Obligations within sixty (60) days of the Year 25 Termination Date.

**B.** During the time period that Tenant is removing or causing to be removed the Solar System from the Property pursuant to the terms of this Lease, the Tenant Parties can enter onto the Premises with persons and equipment for the purpose of said removal subject to all of the requirements and limitations set forth in Paragraph IV.A above of this Lease and also subject to the requirement that Tenant obtain and comply with all Removal Approvals.

**Removal Obligations**

The Removal Obligations also include the obligation to remove all equipment and materials from all License Areas and to restore all License Areas to the same condition that they were in prior to the placement of any materials in connection with the Solar System, the removal thereof and/or the commencement of any installation, partial installation and/or removal of the Solar System, normal wear and tear excepted.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Removal Timeline & Expectations,"Tenant shall complete the Removal Obligations within sixty (60) days of the Year 25 Termination Date. Upon Tenant's completion of the Removal Obligations, the Landlord and Tenant shall have no further obligations to each other by reason of this Lease"," **Removal Timeline & Expectations**

**1. Removal Staging License**
During the time period that Tenant is removing or causing to be removed the Solar System from the Property pursuant to the terms of this Lease, a non-exclusive license for the Tenant Parties to enter onto the Installation, Maintenance and Repair Staging Areas with persons, vehicles and equipment for the purpose of said removal subject to all of the requirements and limitations set forth in Subparagraph I.E.3. above of this Lease and also subject to the requirement that Tenant obtain and comply with all Removal Approvals.

**2. Removal License**
During the time period that Tenant is removing or causing to be removed the Solar System from the Property pursuant to the terms of this Lease, Tenant shall have a non-exclusive license for the Tenant Parties to enter onto the Installation, Maintenance and Repair Access Areas with persons and equipment for the purpose of said removal subject to all of the requirements and limitations set forth in Subparagraph I.E.1. above of this Lease and also subject to the requirement that Tenant obtain and comply with all Removal Approvals.

**3. For Removal**
During the time period that Tenant is removing or causing to be removed the Solar System from the Property pursuant to the terms of this Lease, the Tenant Parties can enter onto the Premises with persons and equipment for the purpose of said removal subject to all of the requirements and limitations set forth in Paragraph IV.A above of this Lease and also subject to the requirement that Tenant obtain and comply with all Removal Approvals.

**4. If this Lease has not terminated earlier pursuant to Subparagraph I.D.2 or Paragraph I.F of this Lease, then on the Year 25 Termination Date, Tenant shall, at its sole cost and expense, remove the Solar System from the Premises and restore the License Areas in accordance with all Removal Obligations. This Paragraph VII.A and the Removal Obligations survive the termination of this Lease until said Removal Obligations are fully completed. Tenant shall complete the Removal Obligations within sixty (60) days of the Year 25 Termination Date.**

**5. Upon a Default Termination, Tenant shall have access to the Premises and the License Areas for up to ninety (90) days from the date of the Default Termination Notice (“Default Removal Period”) to remove the Solar System from the Premises in accordance with this Subsection I.D.2.a(i) During the Default Removal Period Tenant shall, at its sole cost and expense, diligently remove the Solar System and/or all partially installed portions thereof from the Premises in accordance with all Approvals, all Final Approvals, if applicable, and all Applicable Laws and shall obtain all additional Governmental Agency and Local Utility approvals required by Applicable Laws for such removal (""Removal Approvals"") (contingent upon Landlord signing application forms, if required by the applicable Governmental Agency, at no cost and expense to Landlord, required to obtain the Removal Approvals), shall comply with all Removal Approvals and shall repair all damage and remove all alterations to the Property, including, but not limited to, the Buildings and the Roofs, caused by said installation and/or partial installation of the Solar System, in accordance with all Applicable Laws, such that the Property, including, but not limited to the Buildings and the Roofs, is in the same condition as it was in prior to the commencement of any installation and/or partial installation of the Solar System, normal wear and tear excepted, referred to collectively in this Lease as the ""Removal Obligations."" The Removal Obligations also include the obligation to remove all equipment and materials from all License Areas and to restore all License Areas to the same condition that they were in prior to the placement of any materials in connection with the Solar System, the removal thereof and/or the commencement of any installation, partial installation and/or removal of the Solar System, normal wear and tear excepted.**

**6. Notwithstanding the foregoing, if Tenant fails to meet its obligations set forth in Subsection I.D.2.a(i) of this Lease, within the time periods therein provided, then: (a) Tenant shall peaceably quit and surrender the Premises and the License Areas to Landlord, and Landlord may, without further notice, enter upon, re-enter, possess and repossess the same by summary proceedings, ejectment or other legal proceeding, and again have, repossess and enjoy the same as if this Lease had not been made, and in any such event neither Tenant nor any Person claiming through or under Tenant shall be entitled to possession or to remain in possession of the Premises or the License Areas; and (b) the Solar System shall be deemed abandoned by Tenant and Landlord can, in its sole discretion: (1) retain the Solar System and the Environmental Attributes and Administer the VNMP and receive the benefits of Tenant under the VNMP, (2) sell the Solar System and the Environmental Attributes to a third party and retain all of the proceeds of any such sale, or (3) remove and dispose of the Solar System and charge Tenant for the cost of said removal and disposal plus an administrative fee equal to the lesser of fifteen (15%) percent or the maximum interest rate allowed by Applicable Laws of the cost of said removal and disposal, which cost of said removal and disposal and administrative fee Tenant shall pay within thirty (30) days of Tenant's receipt of an invoice for same from Landlord, delivered pursuant to Paragraph X.B of this Lease.**

**7. The Removal Obligations survive the termination of this Lease until said Removal Obligations are fully complete or the provisions of Subsection I.D.2.a(ii) of this Lease come into effect.**",5574.0,0.9574029543112332,0.8491331660598969
Site Lease - Blue Sky- Felicita Town Center.pdf,Renewal Terms,, No information about renewal terms or the ability to extend the lease beyond the initial term without amending the lease was found in the provided document.,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Amount,"Tenant shall pay the Landlord five thousand dollars ($5,000) for the first four (4) months of
the Term (“Initial Pre-Construction Rent”) and then three thousand dollars ($3,000) per month
thereafter (“Pre-Construction Rent”) for the Premises until Commencement of Construction.
Tenant shall notify Landlord of Commencement of Construction, no later than fourteen (14) days
prior to the Commencement of Construction date. From Commencement of Construction until the
Commercial Operation Date, Tenant shall pay the Landlord five thousand dollars ($5,000) per
month for site access, equipment storage and rental of the construction staging areas (“Storage and
Staging Area Rent”). Commencing on the Commercial Operation Date and for each year of the
Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars
($28,500.00) per annum (“Base Rent”), based on the Expected Capacity, with an annual escalation
of 2% percent."," TERM: Rent Amount
DEFINITION: How much Lessee is required pay to Lessor to lease the property

Sections of the document:

Tenant shall pay five percent (5%) of Tenant's Gross Revenues (as defined below)
derived from and attributable to the Solar System (the ""Percentage Rent""), which Percentage Rent
shall be paid on a semi-annual basis on or before July 31st (with respect to the period from January
1st through June 30th) and on or before January 31st (with respect to the period from July 1st
through December 31st) during each year of the Term after the Commercial Operation Date.",697.0,0.7352320675105485,0.8307170778401319
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Calculation,," ""Tenant shall pay five percent (5%) of Tenant's Gross Revenues (as defined below)
derived from and attributable to the Solar System (the ""Percentage Rent""), which Percentage Rent
shall be paid on a semi-annual basis on or before July 31st (with respect to the period from January
1st through June 30th) and on or before January 31st (with respect to the period from July 1st
through December 31st) during each year of the Term after the Commercial Operation Date. For
the purposes of this Lease, ""Gross Revenues” shall mean (i) the actual gross revenues received by
Tenant from the sale and delivery of Clean Energy Credits to Landlord and Other Tenants or
occupants of the Property pursuant to one or more Solar Service Participation Agreements, or by
any licensee, concessionaire or other person in, at, from, or arising out of the Tenant's Permitted
Use of the Premises, including, but not limited to, revenues received from the administration of
the VNMP and any sales of Energy Output, in excess of the Energy Output consumed on the
Property, to the Local Utility. Tenant shall, with each payment of Percentage Rent, provide""",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Commencement,," **TERM: Rent Commencement**

_""Commencing on the Commercial Operation Date and for each year of the Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars ($28,500.00) per annum (""Base Rent""), based on the Expected Capacity, with an annual escalation of 2% percent""_",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Escalator (Amount),"Commencing on the Commercial Operation Date and for each year of the Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars ($28,500.00) per annum (“Base Rent”), based on the Expected Capacity, with an annual escalation of 2% percent.",,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Escalator (Y/N),"Commencing on the Commercial Operation Date and for each year of the Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars ($28,500.00) per annum (“Base Rent”), based on the Expected Capacity, with an annual escalation of 2% percent.",,,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Rent Escalator Effective Date,"Commencing on the Commercial Operation Date and for each year of the Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars ($28,500.00) per annum (“Base Rent”), based on the Expected Capacity, with an annual escalation of 2% percent.", No information about Rent Escalator Effective Date was found in the provided document.,217.0,0.8037037037037037,0.6898123323367269
Site Lease - Blue Sky- Felicita Town Center.pdf,SNDA,," ""SNDA"" means a subordination, non-disturbance and attornment agreement from a
Lender. Such SNDA shall:
acknowledge and consent to the Tenant's rights in the Premises and License Areas,
b. acknowledge that such Lender has no interest in the Solar System and
Environmental Attributes and shall not gain any interest in the Solar System and Environmental
Attributes by virtue of the Landlord's or the Tenant's performance or breach of this Lease, and
a.",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Site Access Rights,," ### ###
44
44
44
44
44
44
C.
D.
E.
F.
G.
iii
6704539 vl
Table of Contents
(continued)
EXHIBIT A - PLAN SHOWING LAND AND IMPROVEMENTS
EXHIBIT B - PLAN SHOWING PREMISES
EXHIBIT C - ROOF WARRANTIES
EXHIBIT D - VIRTUAL NET METERING PROGRAM..........
EXHIBIT E-CERTAIN AGREEMENTS FOR THE BENEFIT OF
SOLAR LENDERS ....

6704539 vl
6704539 vl
d. Landlord affirmatively agrees, at no out-of-pocket cost to Landlord,
to use commercially reasonable efforts, and without commencing or prosecuting litigation,
arbitration or administrative proceedings, to provide, and to cooperate in the provision or
acquisition of, all information, consents, and third party or Local Utility authorizations necessary
for Tenant to implement and administer the VNMP arrangement. Title to all records, reports,
documents, patent and patent rights, trademarks and trademark rights, trade names and trade name
rights, service marks and service mark rights, brand names, inventions, processes and formulae,
copyrights and copyright rights, trade secrets, trade dress, business and product names, logos,
industrial models, designs, methodologies, computer programs, databases and related
documentations, technical information, manufacturing, engineering and drawings, know-how and
other services provided by Tenant, for the use, operation, maintenance or repair of the Solar System
shall vest in the Tenant unless otherwise agreed to in writing between the Tenant and Landlord

For Removal.
B.
During the time period that Tenant is removing or causing to be removed the Solar
System from the Property pursuant to the terms of this Lease, the Tenant Parties can enter onto the
Premises with persons and equipment for the purpose of said removal subject to all of the
requirements and limitations set forth in Paragraph IV.A above of this Lease and also subject to
the requirement that Tenant obtain and comply with all Removal Approvals.
C. For Design, Engineering and Approval",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Site Control Terms,," ""Permitted Use.
1. Subject to and in accordance with all of the terms and conditions of this
Lease, including, but not limited to Article IV hereof, during the Term, Tenant can use the
Premises only to do the following, referred to collectively in this Lease as the “Permitted Use” to
develop, finance, install, own, operate, maintain, clean, replace, repair and remove the Solar
System in order to sell and deliver the Energy Output, available forms of Environmental
Attributes and/or net metering credits produced by the Solar System to one or more Other Tenants,
the Landlord, the Local Utility or to other entities through the local electric grid in accordance
with all Applicable Laws, the Plans and Specifications, all Approvals, the Final Approvals and
all of the terms and provisions of this Lease. The Permitted Use also includes the administration
of the VNMP or other similar program""",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Site Lease Prepayment (Amount),," TERM: Site Lease Prepayment (Amount)
    DEFINITION: Is there a front-loaded payment early in the lease term (i.e. is first year or are earlier years of lease subject to higher payment than later years?)

    Sections of the document:

From Commencement of Construction until the
Commercial Operation Date, Tenant shall pay the Landlord five thousand dollars ($5,000) per
month for site access, equipment storage and rental of the construction staging areas (""Storage and
Staging Area Rent""). Commencing on the Commercial Operation Date and for each year of the
Term thereafter, Tenant shall pay Landlord Twenty Eight Thousand and Five Hundered Dollars
($28,500.00) per annum (""Base Rent""), based on the Expected Capacity, with an annual escalation
of 2% percent",,,
Site Lease - Blue Sky- Felicita Town Center.pdf,Site Lease Prepayment (Y/N),," TERM: Site Lease Prepayment (Y/N): No
DEFINITION: Is there a front-loaded payment early in the lease term (i.e. is first year or are earlier years of lease subject to higher payment than later years?): No",,,
