Key Items,Instructions,Definitions
Substantial Completion Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion Date from the text in this format:
<example>
Text:
```
2.12(b) - Contractor shall cause the Facility to achieve Substantial Completion on or before March 30, 2021 (such date, as it may be adjusted herein, the “Guaranteed Substantial Completion Date”)....
```
Data retrieved:
March 30, 2021</example>


<example>
Text:
```
2.2.4(b) - The date of achievement of Substantial Completion (the “Substantial Completion Date”) shall be the date on which the last iteration of the Substantial Completion Certificate was submitted b...
```
Data retrieved:
Exhibit D - December 7, 2020</example>


<example>
Text:
```
4.5(b) - The “Substantial Completion Date” of the Project shall be the day after the date on which the last of the conditions of Section 4.5(a) was satisfied or, in the sole discretion of Owner, waive...
```
Data retrieved:
April 13, 2020</example>

",The scheduled date by which substantial completion is expected to be achieved as outlined in the contract.
Are Liquidated Damages Associated with Substantial Completion Date?,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Are Liquidated Damages Associated with Substantial Completion Date? from the text in this format:
<example>
Text:
```
11.2(b) - If Substantial Completion does not occur on or before the Guaranteed Substantial Completion Date, after any adjustment is made to such date as permitted under Section 2.12(b) that affects th...
```
Data retrieved:
Yes, penalty of $250/day per MW DC</example>


<example>
Text:
```
2.10.1 - If Contractor has not achieved Substantial Completion by the Guaranteed Substantial Completion Date, Contractor shall pay to Owner, as liquidated damages, the Daily Liquidated Damages Amount ...
```
Data retrieved:
Yes, penalty of $400/MW/day</example>


<example>
Text:
```
4.8 - Delay Damages. Subject to Section 12.4 and Article IX, in the event Contractor has not achieved Substantial Completion on or before the Guaranteed Substantial Completion Date, then, as Owner’s s...
```
Data retrieved:
Yes, penalty of $250/MW/day</example>

",Specifies whether there are financial penalties (liquidated damages) associated for failing to meet the substantial completion date.
Commercial Operation Date,"Retrieve Commercial Operation Date from the text.
Definitions: Commercial Operation Date - The date on which the solar facility starts commercial operation after successful testing and commissioning..
",The date on which the solar facility starts commercial operation after successful testing and commissioning.
Final Completion Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion Date from the text in this format:
<example>
Text:
```
4.6(b) - The “Final Acceptance Date” of the Project shall be the day after the date on which the last of the conditions of Section 4.6(a) was satisfied or, in the sole discretion of Owner, waived....
```
Data retrieved:
May 01, 2020</example>


<example>
Text:
```
2.2.4(d) - The date of achievement of Final Completion (the “Final Completion Date”) shall be the date on which Owner has delivered to Contractor a Final Completion Certificate for such Project counte...
```
Data retrieved:
Exhibit D: 12/31/2020</example>


<example>
Text:
```
10.10 - Final Completion shall occur no later than sixty (60) days after Substantial Completion, or such later period of time as may be reasonably necessary to complete items required to comply with a...
```
Data retrieved:
May 29, 2021</example>

",The date when the final completion is achieved as per the contractual terms.
Default - Owner,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Default - Owner from the text in this format:
<example>
Text:
```
ARTICLE 9
DEFAULT; REMEDIES
 9.1 Event of Default. The occurrence of any one or more of the following events shall constitute an
event of default (""Event of Default"") by a Party (the ""Defaulting Pa...
```
Data retrieved:
non-payment; dissolution; filing of insolvency or bankruptcy petition.</example>


<example>
Text:
```
12.1 Owner Events of Default. The following shall constitute events of default on the
part of Owner (each, an ""Owner Event of Default"") under this Agreement:
(a) If Owner fails to make any undispute...
```
Data retrieved:
Fails to pay undisputed amount when due; misrepresentation; breach of material obligations</example>


<example>
Text:
```
Section 15.9 Termination or Suspension Upon Owner's Breach
 (a) Contractor's Right to Terminate or Suspend Performance
 (i) If Owner fails to make payment of any undisputed amounts when
due and pay...
```
Data retrieved:
Fails to make payment of any undisputed amounts within 10 business days after receiving notice;  misrepresentation; and fails to perform material obligations.</example>

","Circumstances under which the owner may be considered in default, such as failure to make payments or provide necessary permissions."
Default - Contractor,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Default - Contractor from the text in this format:
<example>
Text:
```
8.10.3 - If any legal action is brought for the enforcement of this Agreement or because of an alleged dispute, default, misrepresentation, or breach in connection with any of the provisions of this A...
```
Data retrieved:
Misrepresentation</example>


<example>
Text:
```
""12.2	Contractor Events of Default. The following shall constitute events of default on the part of Contractor (each, a “Contractor Event of Default”) under this Agreement:
(a)	Payment. Contractor fai...
```
Data retrieved:
Fails to make payment within 10 business days after notice; fails to commence work within 30 days after receiving FNTP; misrepresentation; fails to cause substantial completion on due day and fails to damages; insolvency; assignment in breach; and failure to perform material obligations</example>


<example>
Text:
```
12.2 Contractor Events of Default. The following shall constitute events of default on
the part of Contractor (each, a ""Contractor Event of Default"") under this Agreement:
(a) If Contractor fails to...
```
Data retrieved:
Fails to pay undisputed amount when due; Fails to achieve Commercial Operation with respect to the Facility within 45 days of the Guaranteed Substantial Completion Date; misrepresentation; fails to maintain insurance; abandons the Work; breach of material obligations; and fails to prepare a Remedial Action Plan.</example>

","Circumstances under which the contractor may be considered in default, such as delays, failure to meet specifications, or non-compliance with safety standards."
Termination - Owner,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Termination - Owner from the text in this format:
<example>
Text:
```
10.1 - Termination for Cause- Breach Capable of Cure. With respect to any material breach of the Contract that is capable of cure, either party may terminate the Contract for cause after giving five d...
```
Data retrieved:
May terminate the Contract (i) for cause after giving five days prior written notice; (ii) for material breach; (iii) for convenience</example>


<example>
Text:
```
9.2.1 Non-Defaulting Party Rights. Upon the occurrence of an Event of Default, the Non-Defaulting Party shall have the following rights: (a) to terminate this Agreement by written notice to the Defaul...
```
Data retrieved:
9.2.1(a) - non-defaulting Party may terminate by giving written notice to Defaulting Party
10.4 - Force Majeure prevents Contractor from performing its obligations under this Agreement for four (4) months or longer</example>


<example>
Text:
```
12.5 Termination for Convenience.
 (a) Owner may terminate this Agreement for convenience on ten (10) days written
notice to Contractor. Upon receipt of any such notice, Contractor shall, unless the...
```
Data retrieved:
6.4 - Prevented from fulfilling its obligations as a result of a Force Majeure Event for more than 365 days in the aggregate
12.5(a) - 10 days written notice to Contractor
12.7 - Owner is entititled to terminate this Agreement for convenience prior to issuance of Notice to Proceed to Contractor without any payment obligation to Contractor</example>

",Conditions under which the owner has the right to terminate the contract.
Termination - Contractor,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Termination - Contractor from the text in this format:
<example>
Text:
```
10.1 - Termination for Cause- Breach Capable of Cure. With respect to any material breach of the Contract that is capable of cure, either party may terminate the Contract for cause after giving five d...
```
Data retrieved:
May terminate the Contract for cause after giving five days prior written notice</example>


<example>
Text:
```
6.7 - Termination due to Suspension or Prolonged Force Majeure Event or Excusable Event. If the Work is suspended, prevented or delayed, in each case in the aggregate, for more than sixty (60) calenda...
```
Data retrieved:
Work suspension for more than 60 days due to force majeure; and may terminate upon Owner's default.</example>


<example>
Text:
```
15.1(c) - If Owner does not notify Contractor to resume the Work within 180 days following the date of its suspension notice, subject to tolling for a Force Majeure event, Contractor may terminate the...
```
Data retrieved:
If Owner does not notify Contractor to resume the Work within 180 days following the date of its suspension notice.
payment default not cured within in 60 days receipt of notice.""</example>

",Conditions under which the contractor has the right to terminate the contract.
Warranties,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Warranties from the text in this format:
<example>
Text:
```
2. Section 8.2 of the EPC is hereby replaced in its entirety with the following:
 8.2 Warranty Period. Contractor shall remedy any breach of the warranties set
forth in Section 8.1 that manifests in...
```
Data retrieved:
5 years</example>


<example>
Text:
```
ARTICLE 12
WARRANTIES
 12.1 Work Warranty.
 12.1.1 Work Warranty. Contractor warrants during the Work Warranty Period that:
(a) the work and Materials shall be free from defects in design, materia...
```
Data retrieved:
Work Warranty of 5 years
12.2 - Manufacturer Warranty period ranges from 5 years to 25 years
12.3 - PV Syst Confirmation and Price Adjustment</example>


<example>
Text:
```
""8.1 - Contractor warrants to Owner (the “Warranty”): All Work and the Equipment furnished, installed or otherwise performed by Contractor or any Subcontractors hereunder shall: (a) be free from any D...
```
Data retrieved:
5 years warranty for (a) free from any Defects; (b) be new, unused and undamaged and of good and
suitable quality when installed; and (c) be installed in accordance with manufacturers instructions.</example>

","Details of any guarantees provided by the contractor on materials, labor, and system performance."
Guaranties,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Guaranties from the text in this format:
<example>
Text:
```
12.4 Performance Guarantee.
12.4.1 Measured Performance Ratio. Contractor guarantees that the Measured Performance
Ratio in the first two years of operation (from the Substantial Completion Date to ...
```
Data retrieved:
12.4 - Performance Guarantee</example>


<example>
Text:
```
Exhibit G - Design-Builder warrants and guarantees that during the first year of operation occurring after the date that Substantial Completion is achieved, the Project will generate no less than nine...
```
Data retrieved:
Project will generate no less than 90% of output. Guaranteed output 3,861,694 kWh</example>

",Formal assurances or promises regarding certain aspects of the project such as system performance or completion timelines.
