project,month,energy_produced_mwh,energy_expected_mwh,performance_ratio,availability_pct,capacity_factor_pct,soiling_loss_pct,clipping_loss_pct,weather_loss_pct,curtailment_mwh,battery_throughput_mwh,battery_efficiency_pct,carbon_offset_tons
riverbend,2024-09-01,1337.8,1593.8,0.7123,85.27,15.48,1.55,0.51,2.17,8.8,0,,516.4
riverbend,2024-10-01,1134.5,1218.8,0.7501,91.0,12.71,1.77,0.61,1.69,18.3,0,,437.9
riverbend,2024-11-01,867.4,843.8,0.835,99.9,10.04,0.74,0.31,2.19,5.1,0,,334.8
riverbend,2024-12-01,680.6,656.2,0.835,99.9,7.62,0.89,0.97,2.33,0.9,0,,262.7
riverbend,2025-01-01,759.3,750.0,0.8471,99.9,8.5,1.47,0.88,1.04,6.2,0,,293.1
riverbend,2025-02-01,934.5,937.5,0.8176,99.9,11.59,0.71,0.5,1.32,10.6,0,,360.7
riverbend,2025-03-01,1351.9,1312.5,0.8201,99.9,15.14,0.68,0.55,0.71,5.4,0,,521.8
riverbend,2025-04-01,1644.1,1593.8,0.836,99.9,19.03,0.58,1.79,0.81,27.9,0,,634.6
riverbend,2025-05-01,1847.6,1781.2,0.8437,99.73,20.69,1.95,2.78,1.41,4.9,0,,713.2
riverbend,2025-06-01,1879.2,1875.0,0.8207,99.9,21.75,1.42,2.15,1.48,21.5,0,,725.4
riverbend,2025-07-01,1626.7,1968.8,0.6904,85.0,18.22,1.3,0.88,1.28,25.9,0,,627.9
riverbend,2025-08-01,1929.8,1875.0,0.8304,99.9,21.61,1.27,1.49,1.5,25.6,0,,744.9
riverbend,2025-09-01,1641.0,1593.8,0.8329,99.9,18.99,1.39,0.91,1.27,3.6,0,,633.4
riverbend,2025-10-01,1205.1,1218.8,0.8351,99.9,13.5,1.42,1.17,1.92,14.4,0,,465.2
riverbend,2025-11-01,867.4,843.8,0.8437,99.9,10.04,1.31,0.27,1.46,10.8,0,,334.8
riverbend,2025-12-01,674.0,656.2,0.8287,99.9,7.55,1.71,0.47,1.76,7.7,0,,260.2
riverbend,2026-01-01,783.8,750.0,0.8519,99.9,8.78,0.93,0.94,2.12,6.5,0,,302.6
riverbend,2026-02-01,968.1,937.5,0.8375,99.9,12.0,1.85,0.86,1.38,5.7,0,,373.7
riverbend,2026-03-01,1372.2,1312.5,0.8319,99.9,15.37,1.1,0.94,0.82,27.4,0,,529.7
riverbend,2026-04-01,1657.2,1593.8,0.8315,99.9,19.18,1.34,1.46,1.8,6.5,0,,639.7
