,Key Items,Instructions
11,Is Substantial Completion Date within 3 months of Mechanical Completion Date?,"## Analyzing Lease Document Text Samples:

Unfortunately, you haven't provided the text samples for analysis. To effectively identify common structures, keywords, and features within a lease document, I'll need the specific examples you want to search for. Please provide the text samples you mentioned, and I'll do my best to guide you through finding similar sections within the document.

##  Creating a Prompt for Gemini LLM:

Once I have the text samples, I can help you craft a precise prompt for finding similar sections within your lease document. The prompt will likely include:

* **Keywords and Phrases:** We'll identify unique and recurring words or phrases within the samples to target the search.
* **Sentence Structure:**  We'll analyze the sentence structure and grammatical patterns of the samples to narrow down the search.
* **Contextual Clues:** We'll look for surrounding information in the samples, such as section headings, numerical lists, or specific formatting, that might help locate similar sections.

**Here's a potential template for the prompt, assuming you provide the text samples:**

""**Find sections in the lease document that are similar to the following examples:**

**[Insert Sample Text 1]**

**[Insert Sample Text 2]**

**Pay attention to the following features:**

* **Keywords:** [List of Keywords]
* **Sentence Structure:** [Describe Sentence Structure]
* **Contextual Clues:** [Describe Contextual Information]"" 

**Please provide the missing information so I can assist you further in creating an effective prompt for finding the desired text sections in your lease document.** 
"
12,Substantial Completion Date,"## Finding Substantial Completion Dates in Lease Documents: A Guide for Gemini LLM

Based on the provided samples, here's how you can identify sections related to Substantial Completion Dates within a lease document:

**Keywords and Patterns:**

* **""Substantial Completion""**: This is the most obvious and consistent phrase to search for. 
* **""Substantial Completion Date""**: This phrase often appears in parentheses following the definition of Substantial Completion.
* **Date Formats**: Look for specific dates or date calculations, like ""Day 166"" or ""March 30, 2021"". 
* **Section References**: Phrases like ""Section 3.2.4(b)"" or ""Section 4.5(a)"" can point to relevant sections defining Substantial Completion.
* **Exhibit References**:  Look for mentions of exhibits, especially those labeled with letters like ""Exhibit B"" or ""Exhibit D"", which might contain specific dates or conditions related to Substantial Completion.
* **Triggering Events**:  Search for phrases that indicate the completion of certain tasks or conditions, such as ""countersigned and delivered"", ""last iteration submitted"", ""Permission to Operate from the Utility"", or ""Mechanical Completion"".

**Structure and Context:**

* **Schedules**: Sections with titles like ""SCHEDULE J - PROJECT SCHEDULE"" might list key milestones, including Substantial Completion, along with corresponding dates.
* **Definitions**: Look for sections defining key terms, often labeled as ""Definitions"" or appearing at the beginning of the document.
* **Clauses within Sections**:  Focus on sections discussing construction progress, project milestones, or contractor obligations. Within these sections, clauses often begin with numbers and letters, like ""2.2.4(b)"" or ""4.5(b)"".

**Prompt for Gemini LLM:**

```
**Objective:** Identify all sections within this lease document that define or mention the Substantial Completion Date.

**Instructions:**

1. **Keyword Search:** Search for the following keywords and phrases:
    * ""Substantial Completion""
    * ""Substantial Completion Date""
    * Dates in various formats (e.g., ""Day 166"", ""March 30, 2021"")
    * Section references (e.g., ""Section 3.2.4(b)"") 
    * Exhibit references (e.g., ""Exhibit B"")
    * Triggering events (e.g., ""countersigned"", ""last iteration"", ""Permission to Operate"")

2. **Contextual Analysis:**
    * Pay close attention to sections related to:
        * Project schedules
        * Definitions of key terms
        * Construction progress and milestones
        * Contractor obligations

3. **Extract and Summarize:**
    * For each relevant section identified:
        * Extract the full text of the section or clause defining Substantial Completion Date.
        * Summarize the conditions or events that trigger the Substantial Completion Date.
        * If a specific date is mentioned, extract that date.

4. **Present Findings:**
    * Provide a clear and organized report of all identified sections related to Substantial Completion Date, including extracted text, summaries, and specific dates.

**Additional Notes:**

* Consider variations in phrasing and synonyms for ""Substantial Completion"".
* Be aware of potential amendments or addendums to the lease document that might affect the Substantial Completion Date.
* If the document format allows, utilize search functions to expedite the process.
```

By following these guidelines and using the provided prompt, Gemini should be able to effectively locate and analyze sections related to Substantial Completion Dates within lease documents. 
"
13,Are Liquidated Damages Associated with Substantial Completion Date?,"## Prompt for Gemini LLM to Locate Liquidated Damages Clauses in Lease Agreements:

**Objective:** Identify and extract sections within a lease agreement that pertain to liquidated damages, specifically focusing on scenarios where Substantial Completion is not achieved by the Guaranteed Substantial Completion Date.

**Keywords and Patterns to Look for:**

* **Section Titles and Numbers:** Pay close attention to section titles and numbers containing keywords like ""Delay Damages,"" ""Liquidated Damages,"" or referencing ""Substantial Completion"" and ""Guaranteed Substantial Completion Date."" Examples: ""Section 4.8 - Delay Damages,"" ""Article IX,"" ""Section 2.10.1,"" ""Exhibit A,"" ""Exhibit D."" 
* **Trigger Phrases:**  Search for phrases that indicate the imposition of liquidated damages, such as: 
    * ""Contractor shall pay to Owner...""
    * ""...as liquidated damages...""
    * ""...for each day after the Guaranteed Substantial Completion Date...""
    * ""...until Substantial Completion is achieved.""
    * ""...as Owner’s sole and exclusive remedy...""
* **Dates and Timelines:** Identify references to specific dates or timelines related to project completion, such as ""Guaranteed Substantial Completion Date,"" ""Contract Time,"" ""Mechanical Completion Deadline Date,"" ""Commercial Operation Date.""
* **Monetary Amounts and Calculations:** Look for numerical figures representing the daily or per-day liquidated damages amount, often expressed as a dollar value per megawatt (MW) or as a percentage of the Contract Price. Also, pay attention to formulas used to calculate these amounts.
* **Conditional Clauses:** Be aware of clauses that specify conditions under which liquidated damages apply or are waived, such as extensions to the Power Purchase Agreement Commercial Operation Date or adjustments to the Project Schedule. 

**Instructions for Gemini:**

1. **Analyze the provided lease agreement text.** 
2. **Identify sections that contain the keywords and patterns mentioned above.**
3. **Extract the full text of these sections, including relevant section titles, numbers, and surrounding context.**
4. **Present the extracted sections in a clear and organized manner, highlighting the key information related to liquidated damages.** 

**Additional Notes:**

* Consider the variations in language and structure across different lease agreements. 
* Pay attention to the specific terminology used in each document.
* Be mindful of potential exceptions or limitations to liquidated damages clauses.

**By following these instructions and focusing on the identified keywords and patterns, Gemini should be able to effectively locate and extract the relevant sections of the lease agreement pertaining to liquidated damages for failure to achieve Substantial Completion.** 
"
14,Commercial Operation Date,"## Analysis of Text Samples and Prompt Creation for Gemini LLM

Based on the provided text samples, here's an analysis and a proposed prompt for Gemini LLM:

**Common Structure and Keywords:**

* Each sample follows a consistent structure: ""Defined in"" followed by the name of an agreement. 
* The keywords are ""Defined in"" and the names of various agreements (e.g., ""Power Purchase Agreement,"" ""NEB Agreement,"" ""Lease Agreement"").

**Features of Text to Look for:**

* **Capitalization:** The phrase ""Defined in"" consistently starts with capital letters.
* **Agreement Names:** The names of agreements often contain capitalized words and may include the word ""Agreement"" itself. 
* **Sentence Structure:**  The samples are short, independent clauses.

**Prompt for Gemini LLM:**

```
**Objective:** Locate sections within the lease document where specific terms are defined.

**Instructions:**

1. Search for the phrase ""Defined in"" within the document.
2. Identify the name of the agreement mentioned after the phrase ""Defined in.""
3. Extract the sentence or paragraph where the term is defined, including the agreement name and any additional context. 
4.  If the agreement name is ""Lease Agreement,"" prioritize extracting that section. 

**Example Matches:**

* ""Defined in the Power Purchase Agreement.""
* ""Defined in the NEB Agreement.""
* ""Defined in Lease Agreement"" 

**Additional Notes:**

* Pay attention to capitalization and sentence structure as indicators of potential matches.
* Focus on extracting definitions related to the lease agreement, but also collect definitions from other mentioned agreements for context. 
* If available, consider using the document's table of contents or index to quickly locate sections with definitions.
``` 
"
15,Final Completion Date,"## Prompt for Gemini LLM to Find Final Completion Sections in Lease Documents:

**Objective:** Locate and extract sections within a lease document that define and describe ""Final Completion"" and related terms like ""Final Completion Date"" and ""Final Acceptance Date.""

**Keywords and Patterns to Search For:**

* **Explicit terms:** ""Final Completion,"" ""Final Completion Date,"" ""Final Acceptance Date,"" ""Substantial Completion""
* **Related terms:** ""Certificate,"" ""Notice,"" ""Punchlist,"" ""Completion Certificate,"" ""Final Completion Notice""
* **Section numbering:** Pay attention to numbered sections, especially those with subsections like ""2.2.4(d)"" or ""4.6(b)""
* **Capitalized terms:** Look for capitalized terms that might indicate definitions or specific procedures, like ""Owner,"" ""Contractor,"" ""Engineer,"" ""Project Company""
* **Verbs and actions:** Focus on actions related to completion, such as ""deliver,"" ""submit,"" ""achieve,"" ""notify,"" ""inspect,"" ""correct,"" ""remedy""
* **Timeframes and deadlines:** Identify mentions of specific timeframes or deadlines associated with Final Completion, like ""60 days"" or ""10 Business Days""

**Instructions for Gemini LLM:**

1. **Analyze the document structure:** Identify the overall organization of the lease document, such as sections, subsections, and articles.
2. **Search for keywords:** Look for the keywords and related terms listed above within each section.
3. **Identify relevant sections:** Based on the presence of keywords and the context of the surrounding text, determine which sections are most likely to contain information about Final Completion.
4. **Extract relevant text:** Once relevant sections are identified, extract the specific paragraphs or sentences that define and explain Final Completion, Final Completion Date, and related processes.
5. **Present the findings:** Provide the extracted text passages as output, potentially with additional information such as section numbers or headings for context.

**Additional Notes:**

* The specific terminology and structure might vary between different lease documents. 
* Be aware of variations in wording, such as ""Final Acceptance"" instead of ""Final Completion.""
* Consider the context and overall purpose of the document to accurately interpret the extracted information. 
* If available, leverage any document metadata or table of contents for quicker navigation to relevant sections.

**Example Query:**

> ""Search for sections in the lease document that define 'Final Completion' and related terms, including the process for achieving it and the timeframe involved. Pay close attention to sections mentioning 'Final Completion Date,' 'Completion Certificate,' and 'Contractor's notice.'"" 
"
16,Default - Owner,"## Finding Default Clauses in Lease Agreements: A Prompt for Gemini

**Objective:** Locate and extract sections within a lease agreement document that specifically address events of default, remedies for default, and termination clauses related to breach of contract.

**Instructions:**

1. **Keywords and Phrases:** Search for the following keywords and phrases that commonly appear in default and termination clauses:
    * **""Event of Default""**: This is a direct indicator of a clause defining default scenarios.
    * **""Defaulting Party"" and ""Non-Defaulting Party""**: Identifies the parties involved in a default situation.
    * **""Remedies""**: Look for sections outlining the actions that can be taken in response to a default.
    * **""Termination""**: Search for clauses detailing conditions under which the agreement can be terminated.
    * **""Breach""**: Indicates violation of contractual terms, often leading to default or termination.
    * **Specific Default Events**: Look for terms like ""failure to pay,"" ""insolvency,"" ""misrepresentation,"" ""bankruptcy,"" and ""failure to comply.""
    * **Cure Periods**: Identify timeframes given to rectify a breach before further action is taken.
2. **Section Headings and Numbering**: Pay close attention to section headings and numbering that might directly reference defaults or termination, such as:
    * **""Default; Remedies""**
    * **""Events of Default""**
    * **""Termination""**
    * **Specific numbered sections (e.g., 9.1, 12.1)** often contain detailed default clauses.
3. **Structure and Formatting**: 
    * Look for **numbered or lettered lists** that detail specific events of default.
    * Clauses often contain **conditional statements** outlining triggers and consequences. 
    * Pay attention to **timeframes and deadlines** mentioned for curing breaches or initiating termination.
4. **Contextual Clues**: Consider the overall context of the agreement and the relationship between parties. 
    * Identify clauses that protect the interests of both parties in case of non-performance. 
    * Focus on sections dealing with financial obligations, representations and warranties, and performance expectations.

**Prompt for Gemini:**

**Based on the provided samples and instructions, please analyze the lease agreement document and extract the following:**

* All sections related to **events of default**, including specific definitions, triggers, and consequences.
* Clauses outlining **remedies available to the non-defaulting party** in case of a breach.
* Sections detailing **termination clauses**, specifically those related to breach of contract and non-performance.
* **Pay close attention to keywords, section headings, numbering, formatting, and contextual clues to accurately identify relevant sections.**

**Additional Notes:**

* Provide the extracted sections with their corresponding headings and numbering for easy reference.
* If possible, categorize the extracted information based on the type of default or termination clause.
* Highlight any crucial deadlines or cure periods mentioned within the clauses. 

**By following these instructions, Gemini should be able to effectively locate and extract the relevant default and termination clauses within the lease agreement document.** 
"
17,Default - Contractor,"## Finding Default and Termination Clauses in Lease Agreements: A Guide for Gemini

Based on the provided samples, here's how you can identify sections related to defaults and termination in lease agreements:

**Keywords and Phrases:**

*   **Events of Default:** This is the most explicit indicator and often appears as a section heading or within clauses defining specific default scenarios.
*   **Defaulting Party / Non-Defaulting Party:** These terms identify the parties involved in a default situation.
*   **Termination:** Look for sections explicitly mentioning termination rights or conditions under which the agreement can be terminated.
*   **Breach:** This term often precedes descriptions of actions or inactions constituting a breach of the agreement, potentially leading to default or termination.
*   **Cure Period / Remedy:** Clauses involving cure periods specify the timeframe within which the defaulting party can rectify the situation.
*   **Insolvency / Bankruptcy:** References to insolvency, bankruptcy, or related legal proceedings signify potential default triggers.
*   **Liquidated Damages:** Mentions of liquidated damages, especially exceeding a certain threshold, can indicate default consequences.

**Structural Clues:**

*   **Numbered Sections/Articles:** Look for sections titled ""Default,"" ""Events of Default,"" ""Termination,"" or similar headings, often with numbered subsections detailing specific events.
*   **Defined Terms:** Pay attention to defined terms like ""Event of Default"" or ""Contractor Event of Default"" which often point to relevant sections. 
*   **Lists and Enumerations:** Sections outlining events of default frequently use lists or enumerated points to categorize different scenarios.

**Textual Features:**

*   **Conditional Language:** Phrases like ""if,"" ""in the event that,"" or ""failure to"" often introduce default conditions.
*   **Timeframes:** Specific timeframes associated with payment deadlines, cure periods, or notice periods are common elements in default clauses.
*   **Consequences:** Descriptions of consequences like termination, liquidated damages, or other remedies often follow the definition of default events.

**Additional Tips:**

*   **Table of Contents:** Use the table of contents, if available, to quickly locate relevant sections.
*   **Search Function:** Utilize the search function within your document viewer to find keywords like ""default"" or ""termination.""
*   **Cross-Referencing:** Pay attention to cross-references within the document, which may lead to related sections.
*   **Contextual Understanding:**  Consider the overall context of the agreement and the relationship between the parties when interpreting clauses. 

**Prompt for Gemini LLM:**

```
## Locate Default and Termination Clauses

**Objective:** Find sections in the provided lease agreement that define events of default and termination rights.

**Instructions:**

1. **Keywords:** Search for keywords and phrases like ""events of default,"" ""termination,"" ""breach,"" ""cure period,"" ""insolvency,"" and ""liquidated damages.""
2. **Section Headings:** Identify sections titled ""Default,"" ""Events of Default,"" ""Termination,"" or similar.
3. **Defined Terms:** Look for defined terms such as ""Event of Default"" or ""Contractor Event of Default.""
4. **Lists and Enumerations:** Pay attention to lists or enumerated points within relevant sections.
5. **Context:** Consider the overall context of the agreement and the relationship between the parties.

**Output:**

* **List relevant section headings and numbers.** 
* **Provide snippets of text containing key information about events of default and termination rights.**
* **Highlight any specific timeframes, conditions, or consequences associated with default or termination.**

**Example:**

* **Section 12.2 - Contractor Events of Default:** This section defines events such as failure to make payments, failure to achieve commercial operation, and misrepresentation.
* **Article 9 - Default; Remedies:** This article outlines events of default by either party, including non-payment, insolvency, and breach of warranties.
* **Section 15.8 - Termination Upon Contractor's Material Breach:** This section specifies conditions for termination due to the contractor's breach, including false representation, failure to perform, and exceeding damage caps.
```

**Remember:** This information provides a general framework. The specific structure and terminology may vary across different lease agreements. Adapt the search strategies and keywords as needed to effectively locate the relevant clauses.
"
18,Termination - Owner,"## Finding Termination Clauses in Lease Agreements: A Prompt for Gemini

**Objective:** Locate and analyze termination clauses within a lease agreement document.

**Instructions:**

1. **Keywords:** Search for sections containing the following keywords or their synonyms:
    * **Termination:** This is the primary keyword indicating clauses related to ending the agreement.
    * **Convenience, Cause, Default, Force Majeure:** These terms specify the reasons or conditions for termination.
    * **Notice:** Look for mentions of written notice and the timeframe required for termination.
    * **Cure Period:** This indicates the time given to rectify a breach before termination.
    * **Remedies:** Identify the actions or compensations available upon termination.
2. **Section Titles:** Pay close attention to section titles or headings, often explicitly mentioning ""Termination"" followed by the specific type, like ""Termination for Convenience"" or ""Termination for Cause.""
3. **Numbered/Lettered Lists:** Termination clauses frequently appear as numbered or lettered lists outlining the steps involved in the process. 
4. **Cross-References:** Watch for references to other sections within the document, such as ""pursuant to Section X.X,"" which might lead to additional termination details.
5. **Contextual Clues:** Analyze the surrounding text for contextual clues like descriptions of breach events, consequences of termination, or specific rights and obligations of each party.
6. **Common Structures:** 
    * Look for patterns like ""Party X may terminate this Agreement..."" followed by the conditions and procedures.
    * Identify clauses starting with ""In the event of..."" followed by the termination scenario and its implications.
    * Pay attention to if-then statements, e.g., ""If X occurs, then Party Y may terminate...""
7. **Examples:** Use the provided sample text excerpts as reference points to identify similar structures, keywords, and phrasings within the lease agreement.

**Output:**

* Identify the location (e.g., section number) of each termination clause. 
* Extract the full text of each clause.
* Analyze the conditions and procedures for termination in each clause.
* Summarize the key points of each termination scenario (e.g., who can terminate, under what conditions, and with what notice).

**Additional Notes:**

* Consider the specific type of lease agreement and the industry context when interpreting clauses.
* Be aware of potential variations in terminology and structure.
* If uncertainties arise, seek clarification from legal professionals.

**By following these instructions, Gemini can effectively identify and analyze termination clauses within a lease agreement, providing valuable insights into the rights and obligations of the involved parties.** 
"
19,Termination - Contractor,"## Finding Termination Clauses in Lease Agreements: A Guide for Gemini LLM

Based on the provided samples, here's how you can identify termination clauses within a lease agreement document:

**Keywords and Patterns:**

* **Section Titles:** Look for sections explicitly titled ""Termination,"" ""Default,"" ""Force Majeure,"" ""Suspension,"" or similar variations.
* **Triggering Events:** Search for phrases indicating events leading to termination, such as ""breach,"" ""failure to pay,"" ""insolvency,"" ""Force Majeure event,"" ""prolonged suspension,"" etc.
* **Notice Periods:** Identify clauses mentioning specific timeframes for providing written notice of termination (e.g., ""30 days written notice,"" ""5 days prior written notice"").
* **Party Rights:** Look for language outlining the rights of each party in the event of termination, including options to terminate, cure breaches, or seek remedies. 
* **Consequences of Termination:**  Search for clauses detailing the outcomes of termination, such as payment obligations, responsibility for costs, or completion of remaining work.

**Structural Clues:**

* **Numbered or lettered sections and subsections:** Termination clauses are often organized within a numbered or lettered hierarchy (e.g., Section 9.2.1, Section 15.9(a)).
* **Defined terms:** Pay attention to capitalized terms like ""Event of Default,"" ""Force Majeure Event,"" or ""Non-Defaulting Party,"" which are typically defined earlier in the agreement and indicate relevant clauses.
* **Cross-references:** Clauses might refer to other sections within the document related to termination procedures or consequences. 

**Prompt for Gemini LLM:**

**Objective:** Locate and extract all clauses related to termination within this lease agreement.

**Instructions:**

1. **Scan section titles and headings:** Prioritize sections titled ""Termination,"" ""Default,"" ""Force Majeure,"" ""Suspension,"" etc.
2. **Identify keywords:** Search for terms like ""breach,"" ""termination,"" ""notice,"" ""cure,"" ""Force Majeure,"" ""suspension,"" and related phrases.
3. **Analyze sentence structure:** Look for conditional statements (if/then) outlining triggering events and consequences. 
4. **Pay attention to numbered/lettered sections and defined terms:** These often indicate specific provisions related to termination.
5. **Follow cross-references:** Explore any referenced sections for additional termination clauses.
6. **Extract the full text of each identified clause:** Provide the context and surrounding information for accurate interpretation.

**Additional Tips:**

* **Consider the type of lease agreement:** Commercial leases may have different termination clauses than residential leases.
* **Account for variations in language:**  Terminology and specific provisions can differ across agreements.
* **Focus on the intent and overall meaning of the clauses:** Understand the conditions and consequences of termination for each party. 

By following these guidelines, Gemini LLM can effectively identify and analyze termination clauses within lease agreements.
"
20,Warranties,"## Prompt for Gemini LLM to Locate Warranty Sections in Lease Documents:

**Objective:** Identify and extract sections within a lease document that pertain to warranties on equipment, workmanship, or the overall system/project. 

**Instructions:**

1. **Section Headings:** Prioritize sections with titles containing keywords like:
    * ""Warranty""
    * ""Guarantee""
    * ""Defects""
    * ""Repairs"" 
    * ""Replacement""
    * ""Maintenance""
2. **Keywords:** Look for the following keywords within the text:
    * ""Warranty Period""
    * ""Substantial Completion"" 
    * ""Final Completion""
    * ""Commencement Date""
    * ""Expiration Date""
    * ""Workmanship""
    * ""Materials""
    * ""Equipment""
    * ""System""
    * ""Project""
    * ""Defects""
    * ""Repair"" 
    * ""Replace""
    * ""Remedy""
    * ""Manufacturer Warranties""
3. **Numbered Sections/Articles:** Pay close attention to sections labeled with numbers and titles, such as ""Article 12 - Warranties"" or ""Section 8.2 - Warranty Period."" 
4. **Dates and Durations:** Identify mentions of specific timeframes related to warranties, such as ""five (5) years,"" ""ten (10) years,"" or references to specific starting and ending dates.
5. **Responsibilities:**  Look for clauses that outline the responsibilities of both the Contractor and Owner regarding warranty claims, repairs, and replacements. 
6. **Exclusions and Limitations:** Be aware of sections that specify exclusions or limitations to the warranties provided.

**Output:**

* Extract the relevant sections of the lease document that pertain to warranties based on the criteria mentioned above.
* Provide the extracted sections with clear labels indicating the type of warranty (e.g., Workmanship Warranty, Equipment Warranty, Manufacturer Warranty). 
* If possible, identify the starting and ending dates of each warranty period.

**Additional Notes:**

* The provided text samples illustrate the variety of ways warranty information can be presented in lease agreements. Be flexible and adaptable in your search.
* Consider the context of the document and the overall lease agreement when interpreting warranty clauses. 

**I believe this prompt will effectively guide Gemini LLM in locating and extracting warranty information from lease documents. Please let me know if you have any further questions or require additional refinements.** 
"
21,Guaranties,"## Prompt for Gemini LLM:

**Objective:** Locate and extract specific text sections related to performance guarantees within a lease agreement document for a solar energy project.

**Key Features to Identify:**

* **Section Headings:** Look for sections titled ""Performance Guarantee,"" ""Production Guarantee,"" or similar variations. Pay attention to numerical identifiers like ""12.4"" or ""Exhibit G"" which often denote specific sections. 
* **Keywords:** Focus on keywords related to performance and guarantees, such as:
    * ""Measured Performance Ratio""
    * ""Expected Performance Ratio""
    * ""Performance Guarantee Damages"" 
    * ""Annual Output""
    * ""PVsyst Output""
    * ""Minimum Output Guarantee""
    * ""Energy Yield""
    * ""Production Deficit""
    * ""Compensation""
* **Dates and Timeframes:** Search for references to specific timeframes like ""Year One,"" ""Year Two,"" ""first year of operation,"" or ""12-month period.""  
* **Numerical Values:**  Identify numerical values associated with performance guarantees, such as percentages (e.g., 90%), energy output values (e.g., 1450 kWhs/DCkW/Year), or compensation rates.
* **Exhibit References:**  Note any references to exhibits (e.g., Exhibit A, Exhibit N) that might contain relevant details about performance guarantees. 
* **Liquidated Damages Clauses:**  Look for sections discussing  ""liquidated damages"" or ""pre-estimation of damages"" in the context of performance shortfalls.

**Instructions:**

1. Analyze the document structure and headings to locate relevant sections.
2. Scan the text for the keywords listed above.
3. Pay close attention to numerical values and dates associated with performance guarantees.
4. Identify any references to relevant exhibits.
5. Extract the full text sections that discuss performance guarantees, including details about measurement, expected performance levels, consequences of shortfall, and compensation mechanisms.

**Example Text Sections (from the samples provided):**

* The entire section marked as ""12.4 Performance Guarantee"" including subsections 12.4.1 and 12.4.2. 
* The paragraph within ""Exhibit G"" that mentions the ""Minimum Output Guarantee"".
* The section detailing the ""Solar Production Guarantee"" with its subsections describing the ""Term"", ""Item of Work"", and ""Production Deficit"" calculations. 

**Additional Notes:**

* The specific wording and structure may vary depending on the individual lease agreement.  
*  Adapt the search criteria based on the specific language and terminology used in the document you are analyzing. 
* If the document is lengthy or complex, consider using search functions within your document viewer to locate relevant keywords efficiently. 
"
22,Force Majeure,"## Finding Force Majeure Clauses in Lease Agreements: A Guide for Gemini LLM

Based on the provided samples, here's how you can identify Force Majeure sections within a lease document:

**Keywords and Phrases:**

* **Headings:** Look for sections explicitly titled ""Force Majeure,"" often labeled as an Article or Section (e.g., ""Article 10: Force Majeure"").
* **""Force Majeure Event"":** This term defines the specific events triggering the clause. Pay attention to its definition and included examples. 
* **Performance and Obligations:**  The clause will discuss excused performance, delays, and non-performance of obligations under the agreement due to Force Majeure events.
* **Exceptions:**  Look for exceptions to the clause, typically involving financial obligations or events within the party's control. 
* **Notice Requirements:** The clause usually outlines procedures for notifying the other party about a Force Majeure event, including timeframes and required details.
* **Mitigation Efforts:** The clause might require affected parties to make reasonable efforts to mitigate the impact of the Force Majeure event.
* **Duration and Termination:**  Look for clauses specifying the maximum duration of excused non-performance and conditions for contract termination due to prolonged Force Majeure events. 

**Structure and Patterns:**

* **Definitions:** Force Majeure clauses often start with a definition of ""Force Majeure Event,"" outlining the types of events covered.
* **Conditions for Excused Performance:** The clause will specify conditions under which non-performance is excused due to a Force Majeure event. 
* **Procedures and Responsibilities:**  Look for sections outlining procedures for invoking the clause, including notice requirements, mitigation efforts, and potential contract adjustments. 

**Additional Features:**

* **Examples of Force Majeure Events:** The clause may provide specific examples, such as natural disasters, war, strikes, or government actions.
* **Exclusions:**  The clause will often exclude events like economic hardship, market changes, or events within the party's control. 

**Prompt for Gemini LLM:**

**Objective:** Identify and extract the Force Majeure clause within this lease agreement. 

**Instructions:**

1. **Search for keywords:** Look for sections titled ""Force Majeure"" or containing the terms ""Force Majeure Event,"" ""performance,"" ""obligations,"" ""excused,"" ""notice,"" and ""mitigation."" 
2. **Analyze structure:** Identify sections defining ""Force Majeure Event,"" outlining conditions for excused performance, and specifying procedures and responsibilities.
3. **Extract the relevant text:** Once identified, extract the entire Force Majeure clause, including definitions, conditions, procedures, and any examples or exclusions. 
4. **Provide context:** Note the article or section number and any relevant headings.

**Additional notes:** 

* Consider variations in terminology (e.g., ""Act of God"").
* Pay attention to specific details and limitations within the clause.
* If multiple potential clauses are found, analyze each one and determine the most relevant based on context and comprehensiveness. 
"
23,Assignment - Owner,"## Prompt for Gemini LLM to locate Assignment Clauses in Lease Agreements:

**Objective:** Identify and extract sections within a lease agreement document that pertain to the assignment of rights and obligations by either the Owner or Contractor. 

**Keywords and Patterns to Search for:**

* **Section Titles/Headers:** Look for sections explicitly titled ""Assignment,"" ""Transfer,"" or similar variations. Pay attention to article/section numbering (e.g., Article XIII, Section 25).
* **Keywords:**
    * ""Assign,"" ""Transfer,"" ""Delegate,"" ""Subcontract""
    * ""Rights,"" ""Obligations,"" ""Liabilities,"" ""Interest""
    * ""Consent,"" ""Approval,"" ""Notice""
    * ""Owner,"" ""Contractor,"" ""Lender,"" ""Affiliate,"" ""Subsidiary""
    * ""Financing,"" ""Security,"" ""Collateral""
    * ""Merger,"" ""Acquisition,"" ""Consolidation""
* **Specific Phrases:**
    * ""Without the prior written consent""
    * ""Permitted Assignments""
    * ""Void and unenforceable""
    * ""Assumption of obligations"" 

**Additional Features:**

* **Context:** Analyze the surrounding text to ensure the identified section truly discusses assignment provisions and not just mentions the terms in passing.
* **Cross-References:** Look for references to other sections within the agreement that might provide further details on assignment rights and limitations.
* **Logical Structure:** Assignment clauses often follow a specific structure:
    * **General Prohibition:** An initial statement restricting assignments without consent.
    * **Exceptions/Permitted Assignments:** Specific situations where assignment might be allowed without consent (e.g., to affiliates, lenders, etc.).
    * **Conditions and Procedures:** Requirements for valid assignments, such as written notice, assumption of obligations, etc. 
    * **Consequences of Unauthorized Assignment:**  Clauses outlining the repercussions of violating the assignment provisions.

**Example Prompt:**

> **Search the provided lease agreement document and extract all sections related to the assignment of rights and obligations by either the Owner or the Contractor. Pay close attention to keywords such as ""assign,"" ""transfer,"" ""consent,"" and ""obligations."" Identify the specific conditions and limitations for permissible assignments, including any requirements for notice or consent. Also, note any consequences for unauthorized assignments.** 
>
> **Provide the extracted sections with their corresponding headings and article/section numbers. If relevant, include information about cross-referenced sections within the document.** 
"
24,Assignment - Contractor,"## Prompt for Gemini LLM to Locate Assignment Clauses in Lease Agreements:

**Objective:** Identify and extract sections within a lease agreement document that pertain to the assignment of rights, obligations, or the contract itself.

**Keywords and Patterns to Look for:**

* **Section Headings:** Search for sections explicitly titled ""Assignment,"" typically labelled as ""Article XIII,"" ""Section 25,"" or similar variations.
* **Key Terms:**  Look for keywords such as ""assign,"" ""transfer,"" ""delegate,"" ""subcontract,"" ""consent,"" ""written approval,"" ""affiliate,"" ""successor,"" ""legal representatives,"" ""void,"" ""null,"" and ""unenforceable.""
* **Parties Involved:**  Identify mentions of the involved parties, such as ""Owner,"" ""Contractor,"" ""Design-Builder,"" ""Project Company,"" ""Project Investor,"" ""Lenders,"" and ""Financing Party.""
* **Conditional Statements:** Pay attention to clauses outlining conditions or restrictions for assignments, including requirements for consent, limitations on subcontracting, or specific scenarios where assignment is allowed (e.g., collateral assignment to lenders).

**Instructions for Gemini:**

1. **Analyze Text:** Process the provided lease agreement document and identify sections containing the keywords and patterns mentioned above.
2. **Extract Sections:**  Extract the relevant portions of text that specifically discuss assignment clauses, including any conditions or restrictions associated with them.
3. **Present Results:**  Present the extracted sections clearly, potentially grouping them by the type of assignment clause (e.g., general prohibitions, permitted assignments, consequences of unauthorized assignments).

**Additional Considerations:**

* **Variations in Language:**  Be aware of potential variations in wording and sentence structure while maintaining focus on the core concepts related to assignment.
* **Contextual Understanding:**  Consider the context of each clause to accurately interpret its meaning and implications within the lease agreement.
* **Multiple Clauses:** A lease agreement may contain multiple clauses addressing assignment in different contexts. Ensure all relevant sections are identified and extracted.

**By following these instructions and focusing on the provided keywords and patterns, Gemini should effectively locate and present the assignment clauses within a lease agreement document.** 
"
